gene,log2fc,-log10fdr
Smp_000020,1.070613184,9.85078088734462
Smp_000040,-0.758392195,6.42712839779952
Smp_000050,-3.369391224,25.5272435506828
Smp_000080,-1.238997075,7.14327110961712
Smp_000100,-2.610180031,16.5044556624536
Smp_000160,-1.060465533,3.04143611677803
Smp_000170,-6.518761724,18.9706162223148
Smp_000180,-5.406660686,8.96657624451305
Smp_000190,-2.170607975,25.7904849854574
Smp_000200,1.51006421,16.2196826878598
Smp_000230,1.023681189,3.36040594652082
Smp_000260,-2.402498117,21.5316526695878
Smp_000270,-6.232924236,10.7304870557821
Smp_000280,-6.673904443,16.9913998282381
Smp_000290,-4.907674,17.7423214251308
Smp_000320,-1.825339056,17.2479515521806
Smp_000370,-2.566883635,5.29670862188134
Smp_000390,-7.701480674,15.9625735020594
Smp_000400,-5.904490914,17.2848326421515
Smp_000410,-7.500596727,13.8356471442156
Smp_000420,-7.035213746,20.1073489661227
Smp_000430,-7.372650695,19.7520267336382
Smp_000440,0.598653608,3.97881070093006
Smp_000460,1.09173536,4.85698519974591
Smp_000500,-9.413155814,17.0026136156027
Smp_000530,-1.054941221,7.88605664769316
Smp_000580,-2.781777337,15.1487416512809
Smp_000600,0.892994894,10.9030899869919
Smp_000640,-1.011690877,6.1511952989482
Smp_000660,-4.243535854,83.8927900303521
Smp_000670,-1.062649377,11.0141246426916
Smp_000755,-4.117943585,35.3635121036466
Smp_000780,-1.578216992,11.0101054362812
Smp_000790,-1.631882108,8.29073003902417
Smp_000820,-6.170677636,20.137868620687
Smp_000850,-1.732039521,15.9788107009301
Smp_000870,0.634388394,3.67253684744369
Smp_000880,-1.265157962,3.19509219883678
Smp_000890,1.293806971,22.1904402853647
Smp_000900,-10.84990622,21.869666231505
Smp_000950,2.060966412,4.57839607313017
Smp_001000,-3.101758751,3.43533393574791
Smp_001020,1.26632546,5.74714696902011
Smp_001040,-1.488227944,17.2525881921136
Smp_001070,-2.126359563,7.45345733652187
Smp_001080,-1.547748536,5.52724355068279
Smp_001085,3.250175845,8.1771783546969
Smp_001090,1.32839116,14.1029229967906
Smp_001095,0.865740845,6.52432881167557
Smp_001100,-4.942100607,37.6126101736613
Smp_001160,-6.605975476,54.9625735020594
Smp_001180,1.167847124,9.45593195564972
Smp_001210,2.266116004,24.3851027839669
Smp_001390,1.018316376,5.13489602535887
Smp_001420,-1.042727438,4.84771165561694
Smp_001430,-0.654165031,3.17298567503708
Smp_001520,1.405492004,3.04815949620708
Smp_001560,-1.427900162,11.0840727883029
Smp_001610,-2.093966649,22.9393021596464
Smp_001640,-1.159733269,9.96657624451305
Smp_001780,-2.982625101,12.0909791457888
Smp_001940,-0.696181088,4.06854212931099
Smp_002010,1.327134127,10.3372421683184
Smp_002080,1.327101649,13.7281583934635
Smp_002100,-2.741541287,27.6216020990519
Smp_002150,-3.656438166,12.8507808873446
Smp_002160,0.75162773,6.17069622716897
Smp_002230,1.172550769,14.1649438982799
Smp_002350,-4.305928479,11.4282911681913
Smp_002380,-0.788977955,6.64397414280688
Smp_002600,-1.563264314,15.6179829574251
Smp_002640,-7.592707779,11.1655792963185
Smp_002810,1.855554572,27.7798919119599
Smp_002930,-2.392329598,4.25963731050576
Smp_003110,-2.518147467,9.04817696468409
Smp_003140,-1.314031554,13.3151546383556
Smp_003190,-5.461837421,52.0083309926201
Smp_003230,-2.589190441,31.1331221856625
Smp_003270,1.36192066,8.25103713874384
Smp_003330,1.397548541,9.24795155218056
Smp_003440,-6.457839683,90.8153085691824
Smp_003600,2.388485939,3.50767691844242
Smp_003610,-2.911429637,29.9281179926939
Smp_003620,-1.090400851,14.7721132953863
Smp_003670,0.995164812,3.97881070093006
Smp_003710,-0.985345556,8.36855623098683
Smp_003770,0.885394327,3.08465452096153
Smp_003790,2.752373897,5.83863199776502
Smp_003930,-2.398170104,35.4571745730408
Smp_003980,-0.744251093,7.13430394008393
Smp_003990,-3.058278801,19.2225731776107
Smp_004060,2.715479068,62.1765257708297
Smp_004120,-1.115131472,6.39147396642281
Smp_004160,-2.836404479,23.9625735020594
Smp_004190,-2.109584327,30.6497519816658
Smp_004230,3.449980477,11.5606673061697
Smp_004310,-1.841655693,22.6716203965613
Smp_004350,-1.997408188,24.1029229967906
Smp_004420,-3.794108624,37.1090204030103
Smp_004440,-3.322374599,4.98296666070122
Smp_004470,-1.254382802,9.33629907461035
Smp_004510,-9.278510828,15.2724587429714
Smp_004530,2.822439985,6.8153085691824
Smp_004540,3.99404793,14.0209070993617
Smp_004590,-2.08211625,21.9393021596464
Smp_004600,0.904805476,4.86966623150499
